name;Ca;dCa;Co;dCo;Cu;dCu;Fe;dFe;Ni;dNi;Описание;is_solid;id;tags;status_id;is_solution;last_normalized;sample_mass;Sc;dSc;repeat_number;method_number;created_at;priority;series_base;is_series;V (ml);Плотность;Масса твердого (g);pH;Eh;Масса навески (g);Объем р-ра H2SO4 (ml);Масса железных окатышей (g);Масса Ca(OH)2 (g);Масса CaCO3 (g);merge_date;Al;Mg;dZn;merged_from;dMg;dCd;Pb;dSi;Zn;dS;dMn;Si;Mn;dPb;Cd;S;dAl;масса;общая;last_mass_volume_update;mass_volume_source;Разбавление;Ru;mIr;mAl;K;Ag;mSc;mCu;Ir;mPt;mAu;mCl;mFe;Os;mRh;Cl;mCa;Rh;Pd;mNi;mCd;mRu;Масса навески (mg);mK;Mo;mZn;V_aliq (l);last_mass_recalculation;mCo;mMn;Au;mPb;mMo;mOs;mS;mPd;mAg;Pt;mSi;mMg;mEh;C;dC;mC;mass_solid_copied_from_C;last_copy_check;skip_reason;mass_source_for_solid;mass_volume_copy_skipped;Масса;Hg;mHg;Массовая доля CaCO3;Массовая доля Ca(OH)2;Объем суспензии CaCO3;Объем суспензии Ca(OH)2;volume_calculation_note;mass_calculation_note
AOB 1.1;13.9079;0.11;0.0077;0;1.1682;0.01;306.8326;2.51;2.0371;0.01;АОВ сначальной плотностью 1.1;1;1;[];3;0;2026-01-28T18:19:07.503050;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AOB 1.2;13.7979;0.11;0.0277;0;1.2682;0.01;347.5526;3.02;1.2571;0;Аов с начальной плотностью 1.2;1;2;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AOB 1.3;19.4279;0.2;-0.0023;0;1.3682;0.01;331.6926;2.8;2.5471;0.01;АОВ с начальной плотностью 1.3;1;3;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV 11;7.0779;0.8;0.2477;0.14;5.2182;0.11;241.5126;48.17;11.9571;0.11;Камерный продукт после флотации образца АОВ1.1 (пульпа ССФ);1;4;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV 11 110;5.9179;0.88;0.3677;0.05;1.8082;0.04;65.1826;6.25;14.9971;0.15;Твердый остаток сернокислого атмосферного выщелачивания 1г к 1 мл кислоты в течении часа при кипении. образца AV11;1;5;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV11-110-1;10.5979;0.44;0.0077;0.01;7.8282;0.65;271.6426;37.9;2.9971;0.03;Твердый осадок после сульфидизации нейтрализованного и профильтрованного раствора выщелачивания образца AV 11;1;6;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV11-110-C;200.1079;19.2;-0.0123;0;1.0182;0.06;142.2526;21.31;0.4171;0.01;камерный продукт флотации образца AV11_110_1нейтрализованный до pH 8;1;7;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV11-110-F;6.6679;0.29;0.0477;0.02;10.2482;1.48;260.4526;54.84;2.8271;0.01;концентрат флотации образца AV11_110_1;1;8;[];3;0;0;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV11-110-N;76.8779;73.74;0.0977;0.01;0.5182;0;18.6426;0.29;4.3571;0.03;Отфильтрованный гипс нейтрализации до pH2 Пульпы САВ образца AV11;1;9;[];3;0;2026-01-06T09:37:49.072952;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AV111F;4.5879;0.2;0.7077;0.09;13.2982;0.28;112.4626;11.27;33.5771;0.35;концентрат флотации образца AV_1_1;1;10;[];3;0;2026-01-28T18:25:29.677825;0;-1.0827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ЛОЖЬ;0;0;0;ЛОЖЬ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
